epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4114.02,0.44664,0.64256,0.4913,0.92446,0,0.81725,0.85644,0.90062,0.82095,0.81713,0.85181,0.89511,0.77012,0.44414,0.62061,0.60923,0.79389,0,0.00058175,0.00058175,0.00058175
29,4701.91,0.44254,0.63347,0.4789,0.92293,0,0.79972,0.86977,0.89896,0.8196,0.80252,0.86073,0.89416,0.76519,0.44437,0.62749,0.59689,0.79684,0,0.000557,0.000557,0.000557
30,5289.87,0.43549,0.63034,0.47298,0.91619,0,0.82382,0.86027,0.90459,0.82598,0.82117,0.85826,0.89867,0.7699,0.44229,0.6109,0.57329,0.79011,0,0.00053225,0.00053225,0.00053225
31,5877.68,0.42904,0.62526,0.46505,0.91384,0,0.82386,0.87134,0.90669,0.82686,0.82212,0.86834,0.90059,0.76982,0.43791,0.62085,0.57349,0.78988,0,0.0005075,0.0005075,0.0005075
32,6465.13,0.42619,0.61183,0.45605,0.91345,0,0.81983,0.86805,0.90535,0.82777,0.82019,0.86487,0.90008,0.77243,0.43504,0.61805,0.61784,0.79183,0,0.00048275,0.00048275,0.00048275
33,7052.73,0.41785,0.59076,0.44541,0.90579,0,0.8329,0.85507,0.89926,0.82143,0.83166,0.85417,0.89443,0.76722,0.43604,0.60739,0.60487,0.78734,0,0.000458,0.000458,0.000458
34,7640.05,0.41693,0.59106,0.4435,0.90539,0,0.81917,0.85454,0.89833,0.82384,0.81822,0.854,0.89323,0.77116,0.4266,0.61789,0.57211,0.78026,0,0.00043325,0.00043325,0.00043325
35,8227.22,0.40848,0.58334,0.42811,0.90564,0,0.84586,0.8426,0.90421,0.82897,0.84498,0.84137,0.89948,0.77468,0.42341,0.61413,0.56141,0.78094,0,0.0004085,0.0004085,0.0004085
36,8814.35,0.40819,0.58117,0.42131,0.90004,0,0.84022,0.84648,0.90122,0.82631,0.83665,0.8466,0.8954,0.76995,0.42111,0.62567,0.56664,0.7818,0,0.00038375,0.00038375,0.00038375
37,9401.42,0.39892,0.57267,0.41764,0.90038,0,0.82753,0.85866,0.90131,0.82817,0.82683,0.85794,0.89664,0.77239,0.41817,0.60394,0.59339,0.78396,0,0.000359,0.000359,0.000359
38,9988.26,0.39492,0.56593,0.40632,0.89943,0,0.84408,0.84928,0.90042,0.82763,0.84194,0.84718,0.89415,0.77091,0.41706,0.61122,0.57083,0.78413,0,0.00033425,0.00033425,0.00033425
39,10575.4,0.38902,0.55447,0.39853,0.89334,0,0.8435,0.86209,0.90735,0.83359,0.8417,0.86002,0.9015,0.77744,0.41582,0.60443,0.55587,0.78291,0,0.0003095,0.0003095,0.0003095
40,11162.3,0.38179,0.54987,0.38639,0.89136,0,0.8523,0.85603,0.90807,0.83378,0.84946,0.8537,0.90195,0.77653,0.41633,0.61203,0.54447,0.78522,0,0.00028475,0.00028475,0.00028475
41,11756.4,0.37172,0.49636,0.37501,0.87076,0,0.85533,0.8472,0.90847,0.83474,0.85349,0.84539,0.90192,0.77762,0.41554,0.61933,0.56592,0.78108,0,0.00026,0.00026,0.00026
42,12334,0.36345,0.48342,0.35897,0.86459,0,0.83849,0.86229,0.90373,0.83162,0.83681,0.85982,0.89791,0.77689,0.41698,0.61835,0.57562,0.78054,0,0.00023525,0.00023525,0.00023525
43,12912.7,0.36028,0.46985,0.35216,0.86624,0,0.82751,0.87277,0.90245,0.8297,0.8257,0.87278,0.8993,0.77373,0.41993,0.61208,0.55763,0.78512,0,0.0002105,0.0002105,0.0002105
44,13495.5,0.35083,0.46569,0.33785,0.8555,0,0.83605,0.86639,0.90698,0.83462,0.83763,0.86326,0.90236,0.77665,0.41071,0.61012,0.53345,0.77718,0,0.00018575,0.00018575,0.00018575
45,14072.9,0.34516,0.46179,0.32819,0.85406,0,0.84969,0.85555,0.90716,0.8359,0.84605,0.85672,0.90243,0.77791,0.41181,0.61463,0.54224,0.78118,0,0.000161,0.000161,0.000161
46,14650.5,0.33844,0.45109,0.32127,0.85314,0,0.83222,0.86698,0.9026,0.83233,0.83049,0.86459,0.89865,0.77405,0.40695,0.61832,0.56642,0.77841,0,0.00013625,0.00013625,0.00013625
47,15227.8,0.334,0.45539,0.30706,0.85234,0,0.82393,0.88032,0.90222,0.83173,0.82283,0.87299,0.89596,0.77321,0.40595,0.61382,0.55799,0.77871,0,0.0001115,0.0001115,0.0001115
48,15805.7,0.3268,0.44321,0.29926,0.84516,0,0.85421,0.85881,0.89855,0.83,0.8524,0.85698,0.89589,0.77166,0.40387,0.62259,0.57993,0.77578,0,8.675e-05,8.675e-05,8.675e-05
49,16382.8,0.32195,0.4403,0.29599,0.84351,0,0.84747,0.87106,0.90392,0.83456,0.84555,0.86912,0.89816,0.77708,0.40296,0.61585,0.55922,0.77777,0,6.2e-05,6.2e-05,6.2e-05
50,16960,0.31808,0.43413,0.28793,0.84538,0,0.84944,0.87194,0.90152,0.83381,0.848,0.87014,0.89751,0.77563,0.39919,0.61927,0.56349,0.77395,0,3.725e-05,3.725e-05,3.725e-05
